index,Country,TrainMAE,TestMAE,ConfirmedCases,TrainMPE,TestMPE
174,United States,203.32482519358172,187.16229617386088,1993833600.0,1.0197682755149764e-05,9.387056982782359e-06
23,Brazil,397.55398841719636,428.5358563172548,1274513680.0,3.11926026888308e-05,3.36234803158217e-05
29,Canada,30.143522132138457,31.084708045359843,77610016.0,3.883973188736163e-05,4.005244380488189e-05
61,United Kingdom,154.31709154608652,160.5388225343262,202349840.0,7.626252214782405e-05,7.933726190953558e-05
139,Russia,310.37244278606727,315.0573125622264,237094528.0,0.0001309066242077368,0.00013288257439759486
141,Saudi Arabia,152.23420263592823,171.19861793522097,72487008.0,0.00021001584537180544,0.00023617834789817918
19,Belarus,32.13960673764365,54.10184813771497,22271040.0,0.00014431120745885085,0.0002429246597272286
5,United Arab Emirates,52.59530399680771,46.09587805559103,17901664.0,0.00029380120192629974,0.0002574949348596367
14,Bangladesh,105.6547590885479,151.51447660348848,56207008.0,0.0001879743520390694,0.0002695650987212991
51,Egypt,85.29841500002959,74.33537387867929,26060320.0,0.00032731146432595453,0.000285243519184259
79,Iran,185.97227664475227,239.53323336291106,83733056.0,0.0002221013844815986,0.00028606770707486305
77,India,624.7275295616842,692.220619478905,236954080.0,0.00026364919716161215,0.0002921328130239011
83,Italy,262.519262901022,260.29863168028805,84979488.0,0.000308920739674287,0.00030630760175948346
76,Indonesia,99.61935847892435,70.82192439493515,21873984.0,0.00045542393410786234,0.00032377240650324676
172,Ukraine,66.5056666845524,57.67248035539311,17117056.0,0.0003885344926402788,0.0003369299040407013
162,Tajikistan,7.8833038164978335,7.353761015044532,2167968.0,0.00036362639192542666,0.0003392006254264146
9,Azerbaijan,17.541124099928986,23.801671538331842,6969952.0,0.00025166778910283723,0.0003414897482555381
131,Poland,45.917593335480994,45.29431057163073,12573088.0,0.00036520537624075324,0.00036024809952519806
168,Turkey,217.65524134055153,261.41241687860327,72022720.0,0.00030220358428639115,0.00036295826772246765
136,Qatar,98.73235252538123,128.52939843654306,34912416.0,0.00028280011479406416,0.00036814810649753675
80,Iraq,95.27133906995772,79.05787277455188,20540608.0,0.0004638194695597994,0.0003848857481460718
107,Mexico,301.54991339464317,341.8364917241091,88762080.0,0.00033972830897455663,0.0003851154589032942
49,Algeria,14.67778896319292,21.09927009870777,5456000.0,0.0002690210587095477,0.0003867168273223565
105,Moldova,29.421763171259258,27.077502626771725,6220544.0,0.00047297733399617877,0.00043529155370931747
144,Singapore,69.34247880448203,69.2471398911252,15721728.0,0.00044106143297023093,0.0004404550179924573
155,Sweden,104.02578584285371,110.24948629020241,24768832.0,0.00041998664225609717,0.0004451137877240332
1,Afghanistan,49.80839389496015,51.384373970125424,11497024.0,0.0004332285806740957,0.00044693630256077943
147,El Salvador,12.34408464597689,12.024983924345385,2642464.0,0.00046714296376324866,0.000455067086035813
92,Kuwait,64.66255163403818,79.91913509527728,17354656.0,0.0003725948335365344,0.0004605054407029289
121,Netherlands,73.24841087981969,87.05539645131181,17792896.0,0.00041167222513872773,0.0004892705293804438
31,Chile,462.1702031785515,508.6852811067807,102730144.0,0.0004498876232262962,0.0004951665220159535
119,Nigeria,46.232278484325775,50.50954058646324,9914784.0,0.0004662963760413316,0.0005094366209739237
128,Peru,550.103059597373,564.7353866691135,105276160.0,0.00052253336329647,0.0005364323572108952
143,Senegal,15.4148209924947,13.943346536782567,2559744.0,0.0006022016651858428,0.0005447164457376428
138,Romania,50.27678012584095,55.45851676173761,10060864.0,0.0004997262673050838,0.0005512301603693044
125,Oman,120.13059072005558,89.46127393140004,15877312.0,0.0007566179383516277,0.0005634535236909123
113,Mauritania,11.08751704553749,9.575019106915862,1699104.0,0.0006525508176978861,0.0005635334333222605
16,Bahrain,53.8747822349346,58.78984516417717,10157664.0,0.0005303855515887767,0.0005787732805906671
127,Panama,80.77671663228783,76.33425852948321,13018016.0,0.0006204994419448235,0.0005863739799481212
53,Spain,756.0577853807982,518.3216271005277,88191840.0,0.0008572876871384,0.0005877206180305659
6,Argentina,124.8439360616113,160.9686858801909,26532352.0,0.00047053474965812035,0.0006066883398810287
22,Bolivia,77.68615213543956,83.8159932932808,13400992.0,0.0005797044885590526,0.0006254461855755215
32,China,231.5709136873306,186.67065883665384,29410656.0,0.0007873707872661209,0.000634704165852859
123,Nepal,39.01769889645242,35.03587821109447,5452832.0,0.0007155492576417616,0.000642526272789891
37,Colombia,198.91894087645343,256.9716984294501,39912928.0,0.0004983822306307706,0.0006438307368215384
72,Honduras,67.42985885996497,55.67426055775591,8068192.0,0.0008357493086426918,0.0006900463022912185
47,Denmark,26.41421741330777,31.18793369618704,4516864.0,0.0005847910721533296,0.000690477590119761
48,Dominican Republic,79.60801151634635,88.04035760313351,12736768.0,0.0006250252145312402,0.0006912299698254181
126,Pakistan,402.460322156686,550.0029155130475,79299616.0,0.0005075186267694991,0.0006935757614678077
91,South Korea,37.07814371383425,33.38704728377352,4608032.0,0.0008046416282229431,0.0007245402654272695
11,Belgium,130.48335788585402,158.92734141303532,21766976.0,0.0005994556059870422,0.0007301305492000144
30,Switzerland,74.32895943130345,84.01857726953135,11333696.0,0.0006558227733592241,0.0007413166655390382
44,Germany,364.8005284452804,516.3072004591622,69413696.0,0.0005255454607189919,0.0007438117118258078
33,Cote d'Ivoire,37.56979954107539,27.543870936825915,3682624.0,0.0010201910252329695,0.000747941438952929
161,Thailand,8.263319784789852,8.412740927555184,1121120.0,0.0007370593500062306,0.0007503871956218054
