,Country,TrainMAE_x,TestMAE_x,ConfirmedCases,TrainMPE,TestMPE,TrainMAE_y,TestMAE_y
0,United States,203.37720469995608,187.26083641664417,1988169300.0,1.0229370542033624e-05,9.418757065439256e-06,489.8451637704356,448.58358739310535
1,Brazil,397.5631865290618,428.4781881727508,1263662127.0,3.1461193465764285e-05,3.3907654508090736e-05,607.2510560642171,668.1454889898439
2,Canada,30.1313410891219,31.077376209889213,77389533.0,3.8934646483939756e-05,4.015707939456e-05,32.09241358919642,33.218141494608155
3,United Kingdom,154.30245420741934,160.5608819761399,201649500.0,7.652012735336279e-05,7.962374415812582e-05,171.48649353929204,225.00873081917575
4,Russia,310.5420117499993,314.73493655594905,236420964.0,0.00013135130087279373,0.0001331248004537995,443.48658213873006,542.1515311290196
5,Saudi Arabia,152.27100312149676,171.4794651907949,72281079.0,0.00021066509414102241,0.0002372397694710602,216.77362328224723,214.32963993807002
6,Belarus,32.16155951214741,54.011247202047045,22207770.0,0.00014482120227356197,0.00024320878324139277,38.1385200794093,54.251032660538364
7,United Arab Emirates,52.54323344943097,46.1686797049183,17850807.0,0.00029434654382533504,0.00025863637260163257,52.24891221377536,71.1622213096202
8,Bangladesh,105.62164797627632,154.1715685012147,56047329.0,0.00018845081444697628,0.00027507389067767113,155.94099361264907,178.45161077267602
9,Iran,186.03275154898392,239.5217809895641,83495178.0,0.00022280658117644102,0.00028686899857805447,161.19225170445299,230.78827990933192
10,India,625.2456026438091,689.6359490397621,236280915.0,0.00026461959597702127,0.0002918712029872417,1393.9613679466465,1323.8421973351649
11,Indonesia,99.63307002547316,70.7348231589379,21811842.0,0.0004567843010483624,0.00032429550497815765,95.24502405272804,105.83388788343616
12,Tajikistan,7.903966440235518,7.202313529864634,2161809.0,0.00036561816701824814,0.0003331614185094351,7.660871045173397,6.346974072161058
13,Italy,283.7359872671336,283.0694713472292,84738069.0,0.0003348388635893197,0.00033405230339533603,262.519262901022,260.29863168028805
14,Ukraine,66.4790613869297,57.653084493296156,17068428.0,0.00038948555418770665,0.00033777618239533346,58.30016361382744,61.76484569195849
15,Azerbaijan,17.378869763631155,23.50266777512183,6950151.0,0.0002500502473058665,0.00033816053457143345,23.156952005301687,31.627707343307396
16,Egypt,82.07123795269693,90.81559450597472,25986285.0,0.00031582520530617185,0.00034947509621315525,85.29841500002959,74.33537387867929
17,Turkey,217.6788450381581,261.38776738184174,71818110.0,0.00030309742909992774,0.00036395801474285765,207.4480066154991,334.423214663052
18,Qatar,98.76618672965641,128.55681297413926,34813233.0,0.0002837030008952528,0.00036927570896428736,84.23272250819446,141.2369924496674
19,Mexico,301.50599346092685,341.78539836879486,88509915.0,0.0003406465744102532,0.00038615492780531423,329.60483743912755,401.44866533849375
20,Algeria,14.539313892561236,21.19168139308784,5440500.0,0.00026724223679002357,0.0003895171655746317,24.633810947688232,23.472568241376347
21,Moldova,29.354890565533523,26.874468316155877,6202872.0,0.0004732467567528965,0.0004332584698854963,28.282104492810088,25.39884345416865
22,Sweden,104.03927392413937,110.2445770508599,24698466.0,0.0004212377964046,0.0004463620414760168,103.91284298650568,142.4949108674531
23,Afghanistan,49.801458617388214,51.351456541734066,11464362.0,0.00043440235590422056,0.00044792249705421085,42.485853032889196,55.16792061663562
24,El Salvador,12.32497572263821,11.957681769553744,2634957.0,0.0004677486472317465,0.0004538093703067544,13.167434026236696,15.998777305751403
25,Kuwait,64.68596838569175,78.91669476246584,17305353.0,0.0003737916723553212,0.000456024761601025,59.0822602855948,79.71685820460088
26,Iraq,98.8508614914965,99.61440771997977,20482254.0,0.00048261710596644543,0.0004863449487540764,95.27133906995772,79.05787277455188
27,Netherlands,73.23448983268719,87.06839594703028,17742348.0,0.00041276661822148454,0.0004907377306939887,64.16929587966027,84.75637130397931
28,Chile,462.00310739879205,508.6981531301431,102438297.0,0.0004510062358795284,0.0004965898184837483,472.09789546167684,617.0413056125366
29,Nigeria,46.2035549300642,50.464706578054844,9886617.0,0.00046733432609015,0.0005104345255617249,36.606227545219795,51.555813098235376
30,Senegal,15.384842613266844,13.914081631351793,2552472.0,0.0006027428552895722,0.0005451218125547231,11.390790140871735,11.313196926606606
31,Romania,50.27115738103055,55.62051273150547,10032282.0,0.0005010939423456253,0.0005544153636381579,64.63436895476542,76.04891607700372
32,Oman,120.1098527686001,89.45562764214519,15832206.0,0.0007586425591518965,0.0005650231410717192,96.36809093615388,99.02297912250901
33,Mauritania,11.087442604946782,9.574588592684412,1694277.0,0.0006544055431872582,0.0005651135317710392,9.42714014519892,8.72746922933979
34,Singapore,29.98063382560455,88.71766554292446,15677064.0,0.00019123883034224105,0.0005659074016851909,69.34247880448203,69.2471398911252
35,Bahrain,53.849450511499704,58.758571862225374,10128807.0,0.0005316465257112679,0.0005801134512902198,40.543997373551875,64.22059022581588
36,Spain,756.1018595329126,518.4088242084986,87941295.0,0.0008597802198988684,0.000589494189514151,766.5755190136061,614.0192554131106
37,Panama,80.80683573265671,76.68195152488629,12981033.0,0.0006224992705330671,0.0005907230304775152,76.27566532565051,75.33272346662793
38,Poland,21.46780265328752,74.52007671754241,12537369.0,0.000171230524149744,0.0005943836918060112,45.917593335480994,45.29431057163073
39,Argentina,124.82446734192258,160.94656300540763,26456976.0,0.0004718017181628112,0.0006083331783851929,157.77937112101273,164.77074529498924
40,Bolivia,77.68081204726742,82.88743728897663,13362921.0,0.0005813161063158828,0.0006202793333057692,69.94036137298443,79.61919905820156
