,Country,TrainMAE_x,TestMAE_x,ConfirmedCases_x,index,TrainMAE,TestMAE,ConfirmedCases_y,TrainMPE,TestMPE,,MAEdiff (pos means scaler better)
44,Honduras,67.40076726,55.74462394,8045271,72,67.43079104,55.67078141,8045271,0.000838142,0.000691969,,0.073842535
45,Dominican Republic,79.60650457,88.02208182,12700584,48,79.60844267,88.04238533,12700584,0.000626809,0.000693215,,-0.020303506
46,Pakistan,402.4605635,550.2054768,79074333,126,402.4534692,550.0079214,79074333,0.000508956,0.000695558,,0.197555464
47,Denmark,26.36581145,31.4967196,4504032,47,26.41022386,31.23217965,4504032,0.000586368,0.000693427,,0.264539955
48,South Korea,37.11107705,33.42561686,4594941,91,37.08310637,33.39061063,4594941,0.000807042,0.000726682,,0.035006236
49,Belgium,130.5176933,158.9081141,21705138,11,130.4835522,158.9265561,21705138,0.000601164,0.000732207,,-0.018442051
50,Thailand,8.304096787,8.306184753,1117935,161,8.261473221,8.437157734,1117935,0.000738994,0.000754709,,-0.130972981
51,Switzerland,74.33525454,84.01355756,11301498,30,74.32989993,84.02779889,11301498,0.0006577,0.00074351,,-0.014241331
52,Germany,364.8108372,518.4232828,69216498,44,364.8042624,516.7703916,69216498,0.000527048,0.0007466,,1.652891287
53,Cote d'Ivoire,37.5236875,27.50711136,3672162,33,37.5675875,27.55479343,3672162,0.001023037,0.00075037,,-0.047682069
54,Peru,775.5156585,799.1856224,104977080,128,775.4722976,799.1285583,104977080,0.000738706,0.000761241,,0.057064144
55,South Africa,524.610277,502.5544509,65979927,181,524.5512486,502.0600251,65979927,0.000795016,0.000760928,,0.494425841
56,Portugal,74.61356503,119.4198708,15292719,133,74.61051992,119.2520154,15292719,0.000487883,0.000779796,,0.167855425
57,Estonia,7.624075581,5.557418504,699543,54,7.579192664,5.501784285,699543,0.001083449,0.000786483,,0.055634219
58,Albania,6.842000502,7.985353481,989469,3,6.878669454,7.724476144,989469,0.000695188,0.000780669,,0.260877336
59,Norway,21.844153,25.44002926,3133026,122,21.82505271,25.43146727,3133026,0.000696613,0.000811722,,0.008561985
60,Mali,7.061848838,6.715173925,808353,108,7.083535346,6.751350287,808353,0.000876292,0.000835198,,-0.036176362
61,Cuba,5.493655139,7.012582166,831519,41,5.506073824,6.981875257,831519,0.000662171,0.000839653,,0.030706909
62,Malaysia,22.25608929,26.12699856,3038958,116,22.2478705,26.1041159,3038958,0.000732089,0.000858982,,0.022882659
63,Lithuania,7.880521972,5.667768628,642681,99,7.916947749,5.744058721,642681,0.001231863,0.000893765,,-0.076290092
64,Venezuela,19.76919251,21.05184067,2369250,176,19.7463836,20.95211024,2369250,0.000833444,0.000884335,,0.09973043
65,Democratic Republic of Congo,22.49329178,23.3715665,2590029,35,22.51994616,23.40403086,2590029,0.000869486,0.00090362,,-0.032464365
66,Cape Verde,7.974140404,4.534995307,498771,39,8.005544754,4.58093923,498771,0.001605054,0.000918445,,-0.045943923
67,Serbia,35.95753677,50.54176314,5555979,150,36.2017513,50.99095376,5555979,0.000651582,0.000917767,,-0.449190626
68,New Zealand,3.384951038,5.074843828,538083,124,3.394947508,5.021944604,538083,0.000630934,0.000933303,,0.052899224
69,Ireland,47.66272821,85.81170022,8953659,78,47.67725249,85.85220882,8953659,0.000532489,0.000958851,,-0.040508598
70,Austria,39.95582675,61.23534899,6375915,8,39.9017411,61.26301137,6375915,0.00062582,0.000960851,,-0.02766238
